airport;city;country;iata;ICAO ;lat;long;altitude;country_code
Tirana International Airport Mother Teresa;tirana;Albania;TIA;;41.4146995544;19.7206001282;126;AL
Gyumri Shirak Airport;gyumri;Armenia;LWN;;40.7504005432;43.859298706100006;5000;AM
Zvartnots International Airport;yerevan;Armenia;EVN;;40.1473007202;44.3959007263;2838;AM
Graz Airport;graz;Austria;GRZ;;46.9911003112793;15.439599990844727;1115;AT
Innsbruck Airport;innsbruck;Austria;INN;;47.260201;11.344;1907;AT
Klagenfurt Airport;klagenfurt;Austria;KLU;;46.642502;14.3377;1472;AT
Linz Hörsching Airport;linz;Austria;LNZ;;48.2332;14.1875;980;AT
Salzburg Airport;salzburg;Austria;SZG;;47.793300628699996;13.0043001175;1411;AT
Vienna International Airport;vienna;Austria;VIE;;48.110298156738;16.569700241089;600;AT
Zabrat Airport;baku;Azerbaijan;BAK;;40.4955422161;49.9768066406;36;AZ
Ganja Airport;ganja;Azerbaijan;GNJ;;40.737701416015625;46.31760025024414;1083;AZ
Lankaran International Airport;lankaran;Azerbaijan;LLK;;38.746398925799994;48.8180007935;30;AZ
Nakhchivan Airport;nakhchivan;Azerbaijan;NAJ;;39.18880081176758;45.45840072631836;2863;AZ
Gabala International Airport;qabala;Azerbaijan;GBB;;40.826667;47.7125;935;AZ
Antwerp International Airport (Deurne);antwerp;Belgium;ANR;;51.1893997192;4.46027994156;39;BE
Brussels Airport;brussels;Belgium;BRU;;50.901401519800004;4.48443984985;184;BE
Brussels South Charleroi Airport;charleroi;Belgium;CRL;;50.459202;4.45382;614;BE
Liège Airport;liege;Belgium;LGG;;50.63740158081055;5.443220138549805;659;BE
Ostend-Bruges International Airport;ostend;Belgium;OST;;51.198898315399994;2.8622200489;13;BE
Banja Luka International Airport;banja luka;Bosnia and Herzegovina;BNX;;44.94139862060547;17.297500610351562;400;BA
Mostar International Airport;mostar;Bosnia and Herzegovina;OMO;;43.282901763916016;17.84589958190918;156;BA
Sarajevo International Airport;sarajevo;Bosnia and Herzegovina;SJJ;;43.82460021972656;18.331499099731445;1708;BA
Burgas Airport;bourgas;Bulgaria;BOJ;;42.56959915161133;27.515199661254883;135;BG
Plovdiv International Airport;plovdiv;Bulgaria;PDV;;42.067799;24.8508;597;BG
