Bosnia and Herzegovina ;Sarajevo
Bulgaria ;Sofia
Cyprus ;Nicosia
Croatia ;Zagreb
Estonia ;Tallinn
Spain ;Barcelona
Finland ;Helsinki
France ;Paris
Georgia ;Tbilisi
Greece ;Athens
Hungary ;Budapest
Iceland ;Reykjavik
Italy ;Rome
Latvia ;Riga
Lithuania ;Vilnius
Luxembourg ;Luxembourg
North Macedonia ;Skopje
Moldova ;Chisinau
Montenegro ;Podgorica
Norway ;Oslo
Netherlands ;Amsterdam
Poland ;Warsaw
Portugal ;Lisbon
Czech Republic ;Prague
United-Kingdom ;London
Serbia ;Belgrade
Slovakia ;Bratislava
Slovenia ;Ljubljana
Sweden ;Stockholm
Switzerland ;Zurich
Ukraine ;Kiev
