city dep;city dest;date;event
London;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Paris;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Barcelona;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Frankfurt;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Munich;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Madrid;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Brussels;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Copenhagen;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Dublin;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
Lisbon;Amsterdam;06/11/2025;FlavourKizz Kizomba Festival 2025
