Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"Suave Dance Festival Easter","2 Apr","6 Apr","Paris, France","https://placetodance.com/festivals/calendar/6925f18306f86dbdbfab25b0","https://www.facebook.com/events/1857909168145945/","suave_dance_festival_easter_0.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0204ORY11%3Fdestination_airports%3D0&campaign_id=100"
"Baila Baila Salsa Festival 2026","2 Apr","5 Apr","Helsinki, Finland","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8cf","https://www.facebook.com/events/1342599004057848/","baila_baila_salsa_festival_2026_1.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0204HEL11%3Fdestination_airports%3D0&campaign_id=100"
"Diamond Kizomba Festival","2 Apr","6 Apr","Budapest, Hungary","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b615","https://www.facebook.com/events/1910777399750539/","diamond_kizomba_festival_3.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0204BUD11%3Fdestination_airports%3D0&campaign_id=100"
"I Love Kizomba Sensual Festival Rotterdam 2nd Edition","3 Apr","6 Apr","Rotterdam, Netherlands","https://placetodance.com/festivals/calendar/68e7b3dd6eb94a22fac267eb","https://www.facebook.com/events/1874003083464281/","i_love_kizomba_sensual_festival_rotterdam_2nd_edition_8.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304RTM11%3Fdestination_airports%3D0&campaign_id=100"
"𝗠𝗢𝗥𝗔𝗕𝗘𝗭𝗔 𝗞𝗜𝗭𝗢𝗠𝗕𝗔 𝗪𝗘𝗘𝗞𝗘𝗡𝗗𝗘𝗥 𝟮𝟬𝟮𝟲","3 Apr","6 Apr","Rotterdam, Netherlands","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b607","https://www.facebook.com/events/645680601433122/","____________________________________________________________9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304RTM11%3Fdestination_airports%3D0&campaign_id=100"
"Limoges BachataSemba Festival 2026","3 Apr","7 Apr","Limoges, France","https://placetodance.com/festivals/calendar/6925f18206f86dbdbfab2592","https://www.facebook.com/events/1692773378010290/","limoges_bachatasemba_festival_2026_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304LIG11%3Fdestination_airports%3D0&campaign_id=100"
"Masters of Bachata 9 – Road to 2026","3 Apr","6 Apr","Marseille, France","https://placetodance.com/festivals/calendar/688629e14a97ca6427ee4b19","https://www.facebook.com/events/1005097444564783/","masters_of_bachata_9___road_to_2026_12.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304MRS11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Open France Jack and Jill 5 Avril 2026","3 Apr","6 Apr","Lyon, France","https://placetodance.com/festivals/calendar/68fd2268e9c5d223fe32c922","https://www.facebook.com/events/1058857546268642/","bachata_open_france_jack_and_jill_5_avril_2026_14.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0304LYS11%3Fdestination_airports%3D0&campaign_id=100"
"Oslo Kizomba Festival 2026","9 Apr","13 Apr","Oslo, Norway","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b60e","https://www.facebook.com/events/684655900716563/","oslo_kizomba_festival_2026_18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0904OSL11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Festival Germany 2026","9 Apr","13 Apr","Stuttgart, Germany","https://placetodance.com/festivals/calendar/6925cb9706f86dbdbfab244e","https://www.facebook.com/events/2009523516250290/","bachata_festival_germany_2026_20.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0904STR11%3Fdestination_airports%3D0&campaign_id=100"
"Crazy Kiz Spring Edition - Italy 4.0","10 Apr","12 Apr","Milan, Italy","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b603","https://www.facebook.com/events/1848449342665305/","crazy_kiz_spring_edition___italy_4_0_23.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004MXP11%3Fdestination_airports%3D0&campaign_id=100"
"KIZOMBA BARCELONA CONGRESS 2026","10 Apr","13 Apr","BARCELONA , Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5ff","https://www.facebook.com/events/1130441508851669/","kizomba_barcelona_congress_2026_26.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Elsol Bachata Festival 2026","10 Apr","22 Apr","Warsaw, Poland","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b3a","https://www.facebook.com/events/1202018491633515/","elsol_bachata_festival_2026_28.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004WAW11%3Fdestination_airports%3D0&campaign_id=100"
"Mambo Duketowm Salsa & Bachata Festival 2026","10 Apr","12 Apr","Manchester, United Kingdom","https://placetodance.com/festivals/calendar/6925f18206f86dbdbfab25aa","https://www.facebook.com/events/1840349839901473/","mambo_duketowm_salsa___bachata_festival_2026_29.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1004MAN11%3Fdestination_airports%3D0&campaign_id=100"
"Inside Festival 2026","16 Apr","20 Apr","Bordeaux, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b600","https://www.facebook.com/events/1817959098985593/","inside_festival_2026_30.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1604BOD11%3Fdestination_airports%3D0&campaign_id=100"
"CKC – Crystal Kizomba Congress Vienna 2026","16 Apr","20 Apr","Vienna, Austria","https://placetodance.com/festivals/calendar/68e81f0f6eb94a22fac26915","https://www.facebook.com/events/766742382918080/","ckc___crystal_kizomba_congress_vienna_2026_31.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1604VIE11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Greece Festival","17 Apr","19 Apr","Athens, Greece","https://placetodance.com/festivals/calendar/68fd2268e9c5d223fe32c91f","https://www.facebook.com/events/1049143216544518/","bachata_greece_festival_33.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1704ATH11%3Fdestination_airports%3D0&campaign_id=100"
"Project X Bachata Festival Riga 2026","17 Apr","19 Apr","Rīga, Lithuania","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bafb","https://www.facebook.com/events/942383184706848/","project_x_bachata_festival_riga_2026_35.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1704RIX11%3Fdestination_airports%3D0&campaign_id=100"
"Luxembourg International Kizomba Festival Around the World","23 Apr","27 Apr","Luxembourg, Luxembourg","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b619","https://www.facebook.com/events/30522987623967216/","luxembourg_international_kizomba_festival_around_the_world_39.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2304LUX11%3Fdestination_airports%3D0&campaign_id=100"
"Timbalemania 2026","24 Apr","27 Apr","Augsburg, Germany","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8f6","https://www.facebook.com/events/2338855759886997/","timbalemania_2026_41.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2404AGB11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Familyon International festival","24 Apr","26 Apr","Lyon, France","https://placetodance.com/festivals/calendar/689a3df147951c2e5078ec09","https://www.facebook.com/events/1240468907206053/","bachata_familyon_international_festival_44.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2404LYS11%3Fdestination_airports%3D0&campaign_id=100"
