Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"BAILANDO SENSUAL FESTIVAL 2026 ( 5-9th February 2026 )","5 Feb","9 Feb","Krakow, Poland","https://placetodance.com/festivals/calendar/6925f18306f86dbdbfab25c8","https://www.facebook.com/events/2211239472620731/","bailando_sensual_festival_2026___5_9th_february_2026___0.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502KRK11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Gala Helsinki Festival 2026","5 Feb","9 Feb","Helsinki, Finland","https://placetodance.com/festivals/calendar/689a3df147951c2e5078ec0f","https://www.facebook.com/events/1395500678374674/","bachata_gala_helsinki_festival_2026_1.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502HEL11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Edition Festival","5 Feb","9 Feb","Toulouse, France","https://placetodance.com/festivals/calendar/689a283247951c2e5078ebc5","https://www.facebook.com/events/1049348974033795/","bachata_edition_festival_3.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502TLS11%3Fdestination_airports%3D0&campaign_id=100"
"PRAGUE KWANZA FESTIVAL 2026 – Official 8th Edition","5 Feb","9 Feb","Prague, Czech Republic","https://placetodance.com/festivals/calendar/68e80f556eb94a22fac268e0","https://www.facebook.com/events/958645879237331/","prague_kwanza_festival_2026___official_8th_edition_4.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502PRG11%3Fdestination_airports%3D0&campaign_id=100"
"Alegria Bachata Festival Bordeaux edition 5","5 Feb","8 Feb","Paris, France","https://placetodance.com/festivals/calendar/6925cb9506f86dbdbfab2418","https://www.facebook.com/events/1362887295537835/","alegria_bachata_festival_bordeaux_edition_5_5.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0502ORY11%3Fdestination_airports%3D0&campaign_id=100"
"Lento Dance Festival 2026 – Winter Edition ❄️","6 Feb","9 Feb","Vienna, Austria","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c8a7","https://www.facebook.com/events/3185998374897703/","lento_dance_festival_2026___winter_edition____7.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602VIE11%3Fdestination_airports%3D0&campaign_id=100"
"Luxembourg Bachata Family Festival 2026","6 Feb","8 Feb","Luxembourg, Luxembourg","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb07","https://www.facebook.com/events/615171654486729/","luxembourg_bachata_family_festival_2026_9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602LUX11%3Fdestination_airports%3D0&campaign_id=100"
"Brest Bachata Festival 3","6 Feb","9 Feb","Brest, France","https://placetodance.com/festivals/calendar/6925cb9706f86dbdbfab2454","https://www.facebook.com/events/2118110322051172/","brest_bachata_festival_3_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602BES11%3Fdestination_airports%3D0&campaign_id=100"
"Ritmo de Bachata Festival 2nd Anniversary | 68 Feb 2026 | Birmingham","6 Feb","8 Feb","Birmingham, United Kingdom","https://placetodance.com/festivals/calendar/6925f18106f86dbdbfab255c","https://www.facebook.com/events/1091213696312077/","ritmo_de_bachata_festival_2nd_anniversary___68_feb_2026___birmingham_11.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0602BHX11%3Fdestination_airports%3D0&campaign_id=100"
"BachaKizz Sensation  All in one Bachata & Kizomba","12 Feb","16 Feb","Stuttgart, Germany","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bafe","https://www.facebook.com/events/669184702204783/","bachakizz_sensation__all_in_one_bachata___kizomba_15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1202STR11%3Fdestination_airports%3D0&campaign_id=100"
"Mallorca Latin Paradise 2026 - Ven con BailaBarcelona","13 Feb","15 Feb","Barcelona, Spain","https://placetodance.com/festivals/calendar/6925f18606f86dbdbfab262e","https://www.facebook.com/events/779829358081331/","mallorca_latin_paradise_2026___ven_con_bailabarcelona_17.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Amor Valentine’s Festival 2026","13 Feb","16 Feb","Brussels, Belgium","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb09","https://www.facebook.com/events/1386077089066693/","bachata_amor_valentine_s_festival_2026_18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302BRU11%3Fdestination_airports%3D0&campaign_id=100"
"SENSUAL BACHATA FESTIVAL - 3rd EDITION","13 Feb","16 Feb","Bucharest, Romania","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bab1","https://www.facebook.com/events/2384890758530706/","sensual_bachata_festival___3rd_edition_19.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302OTP11%3Fdestination_airports%3D0&campaign_id=100"
"Kizatours dances festival edition afro legacy","13 Feb","15 Feb","Tours, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b693","https://www.facebook.com/events/1669984580259811/","kizatours_dances_festival_edition_afro_legacy_20.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302TUF11%3Fdestination_airports%3D0&campaign_id=100"
"Lille Salsa Festival 2","13 Feb","16 Feb","Lille, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bac0","https://www.facebook.com/events/1145234520705264/","lille_salsa_festival_2_22.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302LIL11%3Fdestination_airports%3D0&campaign_id=100"
"NANTES SALSA, BACHATA & KIZOMBA FESTIVAL","13 Feb","16 Feb","Nantes, France","https://placetodance.com/festivals/calendar/68e7b3dd6eb94a22fac26800","https://www.facebook.com/events/747135498314093/","nantes_salsa__bachata___kizomba_festival_23.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1302NTE11%3Fdestination_airports%3D0&campaign_id=100"
"Magic Winter 2026 Vigo","14 Feb","16 Feb","Vigo, Spain","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac2685d","https://www.facebook.com/events/1099805625131175/","magic_winter_2026_vigo_24.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1402VGO11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Sphere Festival","19 Feb","23 Feb","Paris, France","https://placetodance.com/festivals/calendar/689a3df247951c2e5078ec30","https://www.facebook.com/events/708644831559877/","bachata_sphere_festival_28.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1902ORY11%3Fdestination_airports%3D0&campaign_id=100"
"Alegria Festival Bordeaux 5","19 Feb","23 Feb","Bordeaux, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b676","https://www.facebook.com/events/652078487361267/","alegria_festival_bordeaux_5_30.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1902BOD11%3Fdestination_airports%3D0&campaign_id=100"
"All Stars Budapest Bachata Festival 2026","20 Feb","23 Feb","Budapest, Hungary","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb0a","https://www.facebook.com/events/1362025638162201/","all_stars_budapest_bachata_festival_2026_32.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002BUD11%3Fdestination_airports%3D0&campaign_id=100"
"Festival de salsa d Amsterdam 2026","20 Feb","22 Feb","Amsterdam, Netherlands","https://placetodance.com/festivals/calendar/6925cb9606f86dbdbfab2424","https://www.facebook.com/events/1452711012546675/","festival_de_salsa_d_amsterdam_2026_35.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002AMS11%3Fdestination_airports%3D0&campaign_id=100"
"The Biggest bachata festival in Scandinavia","20 Feb","22 Feb","Malmö, Sweden","https://placetodance.com/festivals/calendar/68779f2db9da100c7000baf2","https://www.facebook.com/events/1026383212839822/","the_biggest_bachata_festival_in_scandinavia_36.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002MMA11%3Fdestination_airports%3D0&campaign_id=100"
"Bailame Salsa Festival 3","20 Feb","22 Feb","Paris, Cuba","https://placetodance.com/festivals/calendar/6925cb9b06f86dbdbfab24f0","https://www.facebook.com/events/981503534132109/","bailame_salsa_festival_3_37.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002ORY11%3Fdestination_airports%3D0&campaign_id=100"
"FREEDOM ROMANTIC FESTIVAL 9ème EDITION","20 Feb","23 Feb","Rennes, France","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac2687a","https://www.facebook.com/events/656495683568934/","freedom_romantic_festival_9_me_edition_38.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2002RNS11%3Fdestination_airports%3D0&campaign_id=100"
"Dinastia World Dance Congress 2026","26 Feb","2 Mar","Vilnius, Lithuania","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b1c","https://www.facebook.com/events/1053898349908710/","dinastia_world_dance_congress_2026_44.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2602VNO11%3Fdestination_airports%3D0&campaign_id=100"
"KizNover – Urban Kizomba Connection Weekend Hannover 2026","27 Feb","1 Mar","Hannover, Germany","https://placetodance.com/festivals/calendar/68e81f0f6eb94a22fac2691b","https://www.facebook.com/events/991236286222320/","kiznover___urban_kizomba_connection_weekend_hannover_2026_46.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702HAJ11%3Fdestination_airports%3D0&campaign_id=100"
"Baila Conmigo Congress Latino 2026","27 Feb","1 Mar","Split, Croatia","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26892","https://www.facebook.com/events/976777167965822/","baila_conmigo_congress_latino_2026_49.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702SPU11%3Fdestination_airports%3D0&campaign_id=100"
"Oltenia Salsa Fest a 8-a editie","27 Feb","2 Mar","Craiova, Romania","https://placetodance.com/festivals/calendar/6925cb9906f86dbdbfab24a2","https://www.facebook.com/events/657196557227738/","oltenia_salsa_fest_a_8_a_editie_50.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702CRA11%3Fdestination_airports%3D0&campaign_id=100"
"Eme Kia Festival","27 Feb","2 Mar","Lisbon, Portugal","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac2687d","https://www.facebook.com/events/690548050082278/","eme_kia_festival_54.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702LIS11%3Fdestination_airports%3D0&campaign_id=100"
"Level'UP BACHATA festival LYON 2026","27 Feb","2 Mar","Lyon, France","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8e7","https://www.facebook.com/events/1931276107674743/","level_up_bachata_festival_lyon_2026_56.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702LYS11%3Fdestination_airports%3D0&campaign_id=100"
"DADAM Poznań Kizomba Festival 2026","27 Feb","1 Mar","Poznań, Poland","https://placetodance.com/festivals/calendar/68f68970cfd1f800ad2ef519","https://www.facebook.com/events/2208810286241867/","dadam_pozna__kizomba_festival_2026_57.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2702POZ11%3Fdestination_airports%3D0&campaign_id=100"
