Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"5th Kizzaffaire Official Event","9 Jan","12 Jan","Warsaw, Poland","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b61f","https://www.facebook.com/events/1691488048418511/","5th_kizzaffaire_official_event_6.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0901WAW11%3Fdestination_airports%3D0&campaign_id=100"
"Dominican Swag Festival 2026","9 Jan","11 Jan","Amsterdam, Netherlands","https://placetodance.com/festivals/calendar/68779f2db9da100c7000baba","https://www.facebook.com/events/649075307691523/","dominican_swag_festival_2026_7.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0901AMS11%3Fdestination_airports%3D0&campaign_id=100"
"YEKRIK KIZOMBA DAYS 2026 | Marathon Edition","9 Jan","11 Jan","Barcelona, Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b61e","https://www.facebook.com/events/563654426435649/","yekrik_kizomba_days_2026___marathon_edition_9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0901BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Certeza 3","9 Jan","11 Jan","Zürich, Switzerland","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26863","https://www.facebook.com/events/1185881635877345/","certeza_3_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0901ZRH11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Festival","14 Jan","19 Jan","Vienna, Austria","https://placetodance.com/festivals/calendar/6925f18206f86dbdbfab259e","https://www.facebook.com/events/1755796711966627/","bachata_festival_11.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1401VIE11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Sensual World Congress 2026 - BSWC26'","14 Jan","16 Jan","Valencia, Spain","https://placetodance.com/festivals/calendar/6925f18206f86dbdbfab258c","https://www.facebook.com/events/1664879101073480/","bachata_sensual_world_congress_2026___bswc26__12.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1401VLC11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Sensual World Congress 2026 (BSWC) - Ven con BailaBarcelona","14 Jan","19 Jan","Barcelona, Spain","https://placetodance.com/festivals/calendar/6925f18406f86dbdbfab25da","https://www.facebook.com/events/2682911405388397/","bachata_sensual_world_congress_2026__bswc____ven_con_bailabarcelona_13.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1401BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Corazon 9th ANNIVERSARY FESTIVAL #BCAF2026","15 Jan","17 Jan","Valencia, Spain","https://placetodance.com/festivals/calendar/6925f18306f86dbdbfab25b6","https://www.facebook.com/events/1864757451035412/","bachata_corazon_9th_anniversary_festival__bcaf2026_14.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1501VLC11%3Fdestination_airports%3D0&campaign_id=100"
"Magic Slovenian Salsa Festival - Official event","15 Jan","19 Jan","Ljubljana, Slovenia","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c905","https://www.facebook.com/events/826630599694090/","magic_slovenian_salsa_festival___official_event_15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1501LJU11%3Fdestination_airports%3D0&campaign_id=100"
"Diamond Winter Edition - 16 & 17 Janvier 2026","16 Jan","18 Jan","Lyon, France","https://placetodance.com/festivals/calendar/6925f18306f86dbdbfab25c2","https://www.facebook.com/events/2192295151293668/","diamond_winter_edition___16___17_janvier_2026_17.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1601LYS11%3Fdestination_airports%3D0&campaign_id=100"
