Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"Kizomba Fusion LaPlaya Festival vol. 3","3 Jul","5 Jul","Gdańsk, Poland","https://placetodance.com/festivals/calendar/68f68970cfd1f800ad2ef525","https://www.facebook.com/events/3602534763383656/","kizomba_fusion_laplaya_festival_vol__3_2.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0307GDN11%3Fdestination_airports%3D0&campaign_id=100"
"Kaunas Bachata Festival 2026","3 Jul","6 Jul","Kaunas, Lithuania","https://placetodance.com/festivals/calendar/689a283347951c2e5078ebec","https://www.facebook.com/events/605670762549926/","kaunas_bachata_festival_2026_3.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0307KUN11%3Fdestination_airports%3D0&campaign_id=100"
"Bratislava Kizomba Festival","3 Jul","6 Jul","Bratislava, Slovakia","https://placetodance.com/festivals/calendar/68e7b3dd6eb94a22fac267e8","https://www.facebook.com/events/1753809955313176/","bratislava_kizomba_festival_5.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0307BTS11%3Fdestination_airports%3D0&campaign_id=100"
"Pure Kizzz *The Last* Summer Edition","4 Jul","6 Jul","Dortmund, Germany","https://placetodance.com/festivals/calendar/6884c1558dbff31b59015599","https://www.facebook.com/events/1761279027930457","pure_kizzz__the_last__summer_edition_7.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0407DTM11%3Fdestination_airports%3D0&campaign_id=100"
"PORTO KIZOMBA FESTIVAL SUMMER PARADISE 2026","8 Jul","12 Jul","Porto, Portugal","https://placetodance.com/festivals/calendar/6884c1558dbff31b59015596","https://www.facebook.com/events/1453150042363753","porto_kizomba_festival_summer_paradise_2026_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0807OPO11%3Fdestination_airports%3D0&campaign_id=100"
"Tropical Oporto Dance Congress","10 Jul","12 Jul","Porto, Portugal","https://placetodance.com/festivals/calendar/68861ce24a97ca6427ee4aca","https://www.facebook.com/events/1111615100822812","tropical_oporto_dance_congress_14.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1007OPO11%3Fdestination_airports%3D0&campaign_id=100"
"STRASBOURG BACHATA FESTIVAL 2026","10 Jul","13 Jul","Madrid, Spain","https://placetodance.com/festivals/calendar/6925cb9406f86dbdbfab23f1","https://www.facebook.com/events/1165835908469324/","strasbourg_bachata_festival_2026_15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1007MAD11%3Fdestination_airports%3D0&campaign_id=100"
"Alegria Summer Weekender 3","10 Jul","13 Jul","Bordeaux, France","https://placetodance.com/festivals/calendar/68e7bb216eb94a22fac26846","https://www.facebook.com/events/767970129017852/","alegria_summer_weekender_3_16.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1007BOD11%3Fdestination_airports%3D0&campaign_id=100"
"Kizomba Spain WORLD CONGRESS 2026 - Ven con Elsa y Sergi","15 Jul","20 Jul","Barcelona, Spain","https://placetodance.com/festivals/calendar/6884c1558dbff31b5901559c","https://www.facebook.com/events/2977109012478364","kizomba_spain_world_congress_2026___ven_con_elsa_y_sergi_19.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1507BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Salsa Dance Festival 2026","21 Jul","27 Jul","Portorož, Slovenia","https://placetodance.com/festivals/calendar/68fd2268e9c5d223fe32c92e","https://www.facebook.com/events/1435989304350799/","salsa_dance_festival_2026_22.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2107POW11%3Fdestination_airports%3D0&campaign_id=100"
