Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"BCN Sensual Family - The Weekend 2026 - Ven con BailaBarcelona","3 Mar","9 Mar","Barcelona, Spain","https://placetodance.com/festivals/calendar/6925f18506f86dbdbfab25f8","https://www.facebook.com/events/4229604037255180/","bcn_sensual_family___the_weekend_2026___ven_con_bailabarcelona_0.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0303BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Kizomba Tallinn Festival 2026","5 Mar","9 Mar","Tallinn, Estonia","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b68e","https://www.facebook.com/events/918959480410135/","kizomba_tallinn_festival_2026_1.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0503TLL11%3Fdestination_airports%3D0&campaign_id=100"
"Badja Kiz Warsaw 2026","6 Mar","9 Mar","Warsaw, Poland","https://placetodance.com/festivals/calendar/68e81f0f6eb94a22fac2690c","https://www.facebook.com/events/689929644122451/","badja_kiz_warsaw_2026_2.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0603WAW11%3Fdestination_airports%3D0&campaign_id=100"
"Vienna Paraiso Festival 2026 - Bachata & Zouk Edition","6 Mar","9 Mar","Vienna, Austria","https://placetodance.com/festivals/calendar/689a3df147951c2e5078ec03","https://www.facebook.com/events/1054047936859466/","vienna_paraiso_festival_2026___bachata___zouk_edition_6.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0603VIE11%3Fdestination_airports%3D0&campaign_id=100"
"Salsa Mastery Festival, Timba Mastery Festival","6 Mar","9 Mar","Cologne, Germany","https://placetodance.com/festivals/calendar/6925cb9906f86dbdbfab2496","https://www.facebook.com/events/535302666313885/","salsa_mastery_festival__timba_mastery_festival_8.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0603CGN11%3Fdestination_airports%3D0&campaign_id=100"
"Shattakiz Weekender 2026","6 Mar","9 Mar","Geneva, Switzerland","https://placetodance.com/festivals/calendar/68e7cb356eb94a22fac268a0","https://www.facebook.com/events/1429530971499668/","shattakiz_weekender_2026_10.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0603GVA11%3Fdestination_airports%3D0&campaign_id=100"
"Mambo Bratislava Weekend 8th Edition","7 Mar","9 Mar","Bratislava, Slovakia","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c894","https://www.facebook.com/events/1295869392047846/","mambo_bratislava_weekend_8th_edition_12.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0703BTS11%3Fdestination_airports%3D0&campaign_id=100"
"Salsa Addicted Festival 2025","12 Mar","16 Mar","Timișoara, Romania","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb27","https://www.facebook.com/events/9636271219770056/","salsa_addicted_festival_2025_14.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1203TSR11%3Fdestination_airports%3D0&campaign_id=100"
"Lago Latino Festival","13 Mar","15 Mar","Ioannina, Greece","https://placetodance.com/festivals/calendar/6925f18706f86dbdbfab2658","https://www.facebook.com/events/9705405906249547/","lago_latino_festival_15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303IOA11%3Fdestination_airports%3D0&campaign_id=100"
"KIZ BREAK FESTIVAL CARIBBEAN EDITION","13 Mar","15 Mar","Poitiers, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b65d","https://www.facebook.com/events/9650191231697622/","kiz_break_festival_caribbean_edition_18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303PIS11%3Fdestination_airports%3D0&campaign_id=100"
"VIBRAS – Cracow Bachata Festival 2026 (2nd Edition)","13 Mar","15 Mar","Kraków, Poland","https://placetodance.com/festivals/calendar/68fd2269e9c5d223fe32c93d","https://www.facebook.com/events/2528431964186080/","vibras___cracow_bachata_festival_2026__2nd_edition__19.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303KRK11%3Fdestination_airports%3D0&campaign_id=100"
"DominicanRise Bachata Festival 2026","13 Mar","15 Mar","Marseille, Spain","https://placetodance.com/festivals/calendar/6925cb9b06f86dbdbfab24e4","https://www.facebook.com/events/820600207645842/","dominicanrise_bachata_festival_2026_23.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303MRS11%3Fdestination_airports%3D0&campaign_id=100"
"Latin Vibes Festival 2026","13 Mar","16 Mar","Copenhagen, Denmark","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b43","https://www.facebook.com/events/1388969709216139/","latin_vibes_festival_2026_24.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303CPH11%3Fdestination_airports%3D0&campaign_id=100"
"TENTAÇÃO WINTER EXPERIENCE Zurich","13 Mar","16 Mar","Zürich, Switzerland","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26883","https://www.facebook.com/events/725893219988431/","tenta__o_winter_experience_zurich_25.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303ZRH11%3Fdestination_airports%3D0&campaign_id=100"
"Me Salsa Fest","13 Mar","16 Mar","Birmingham, Cuba","https://placetodance.com/festivals/calendar/6925cb9306f86dbdbfab23d3","https://www.facebook.com/events/1012406077412191/","me_salsa_fest_26.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303BHX11%3Fdestination_airports%3D0&campaign_id=100"
"Festival Salsa Carnaval 2026","13 Mar","16 Mar","Limoges, France","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8d5","https://www.facebook.com/events/1418625742699440/","festival_salsa_carnaval_2026_28.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1303LIG11%3Fdestination_airports%3D0&campaign_id=100"
"BINDAAS Bachata - The Social Dancing Festival in Amsterdam - 3rd Anniversary","14 Mar","16 Mar","Amsterdam, Netherlands","https://placetodance.com/festivals/calendar/689a283247951c2e5078ebc2","https://www.facebook.com/events/1016720840533016/","bindaas_bachata___the_social_dancing_festival_in_amsterdam___3rd_anniversary_29.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1403AMS11%3Fdestination_airports%3D0&campaign_id=100"
"Wonderland Berlin Festival, 19-23 March 2026","17 Mar","23 Mar","Berlin, Germany","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26877","https://www.facebook.com/events/649411800910622/","wonderland_berlin_festival__19_23_march_2026_30.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1703BER11%3Fdestination_airports%3D0&campaign_id=100"
"Sweden Bachata Festival","19 Mar","23 Mar","Gothenburg, Sweden","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8e4","https://www.facebook.com/events/1907328793163853/","sweden_bachata_festival_31.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1903GOT11%3Fdestination_airports%3D0&campaign_id=100"
"Loves Kizomba Origins 2026","20 Mar","23 Mar","Sevilla, Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b610","https://www.facebook.com/events/1170700618133393/","loves_kizomba_origins_2026_35.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2003SVQ11%3Fdestination_airports%3D0&campaign_id=100"
"CARLOS & PAZ - 11th edition of Warsaw Bachata Meet Up!","20 Mar","23 Mar","Warsaw, Poland","https://placetodance.com/festivals/calendar/68779f2db9da100c7000babd","https://www.facebook.com/events/2062132247607016/","carlos___paz___11th_edition_of_warsaw_bachata_meet_up__38.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2003WAW11%3Fdestination_airports%3D0&campaign_id=100"
"Slovenia Bachata Festival 2026 Official Event","20 Mar","23 Mar","Ljubljana, Slovenia","https://placetodance.com/festivals/calendar/6925f18606f86dbdbfab2634","https://www.facebook.com/events/805386982442222/","slovenia_bachata_festival_2026_official_event_39.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2003LJU11%3Fdestination_airports%3D0&campaign_id=100"
"Brux Bachata Congress","26 Mar","30 Mar","Brussels, Belgium","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bab9","https://www.facebook.com/events/680568977792299/","brux_bachata_congress_42.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2603BRU11%3Fdestination_airports%3D0&campaign_id=100"
"Cluj Kizomba Festival 8th Edition 2026","26 Mar","30 Mar","Cluj-Napoca, Romania","https://placetodance.com/festivals/calendar/68f68970cfd1f800ad2ef507","https://www.facebook.com/events/1312174937220660","cluj_kizomba_festival_8th_edition_2026_43.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2603CLJ11%3Fdestination_airports%3D0&campaign_id=100"
"AB INTERNATIONAL CONGRESS MADRID","27 Mar","30 Mar","Madrid, Spain","https://placetodance.com/festivals/calendar/6925cb9806f86dbdbfab248a","https://www.facebook.com/events/4029500163975590/","ab_international_congress_madrid_47.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2703MAD11%3Fdestination_airports%3D0&campaign_id=100"
"Oslo Bachata Festival 2026","27 Mar","30 Mar","Oslo, Norway","https://placetodance.com/festivals/calendar/6925cb9706f86dbdbfab245a","https://www.facebook.com/events/2225330411210780/","oslo_bachata_festival_2026_49.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2703OSL11%3Fdestination_airports%3D0&campaign_id=100"
"Riisca Festival 2026 - 3ème Edition","27 Mar","30 Mar","Toulouse, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5fe","https://www.facebook.com/events/1214833346659732/","riisca_festival_2026___3_me_edition_52.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2703TLS11%3Fdestination_airports%3D0&campaign_id=100"
