Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"BcnDanceLife BACHATA CONGRESS 2026","2 Oct","5 Oct","Barcelona, Spain","https://placetodance.com/festivals/calendar/6925f18206f86dbdbfab2598","https://www.facebook.com/events/1717552742243584/","bcndancelife_bachata_congress_2026_2.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0210BCN11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Geneva Festival 2026 - The Festival of Nations","8 Oct","12 Oct","Geneva\, Switzerland","https://placetodance.com/festivals/calendar/6925cb9806f86dbdbfab2478","https://www.facebook.com/events/25450512424556376/","bachata_geneva_festival_2026___the_festival_of_nations_6.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0810GVA11%3Fdestination_airports%3D0&campaign_id=100"
"Mi Bachata Festival (Slovakia)","9 Oct","11 Oct","Bratislava, Slovakia","https://placetodance.com/festivals/calendar/6925f18406f86dbdbfab25ec","https://www.facebook.com/events/2916772541827896/","mi_bachata_festival__slovakia__9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0910BTS11%3Fdestination_airports%3D0&campaign_id=100"
"Official - Tokoos Kizomba Festival 2nd Edition","16 Oct","19 Oct","Paris, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b612","https://www.facebook.com/events/583177408136654/","official___tokoos_kizomba_festival_2nd_edition_14.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1610ORY11%3Fdestination_airports%3D0&campaign_id=100"
"Bachata Festival London UK - Autumn Edition 1 (16-19 October 2026)","16 Oct","19 Oct","London, United Kingdom","https://placetodance.com/festivals/calendar/6925f18406f86dbdbfab25e0","https://www.facebook.com/events/2908811605996425/","bachata_festival_london_uk___autumn_edition_1__16_19_october_2026__15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1610LCY11%3Fdestination_airports%3D0&campaign_id=100"
"TKF 2026 - TOULOUSE KIZOMBA FESTIVAL","16 Oct","19 Oct","Toulouse, France","https://placetodance.com/festivals/calendar/6913a420caf0f6bef34db74b","https://www.facebook.com/events/1738253163540211/","tkf_2026___toulouse_kizomba_festival_16.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1610TLS11%3Fdestination_airports%3D0&campaign_id=100"
"Kizomba Festival London UK - Autumn Edition 2 (16-19 October 2026)","16 Oct","19 Oct","London, United Kingdom","https://placetodance.com/festivals/calendar/6925cb9a06f86dbdbfab24b4","https://www.facebook.com/events/672329758932580/","kizomba_festival_london_uk___autumn_edition_2__16_19_october_2026__18.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1610LCY11%3Fdestination_airports%3D0&campaign_id=100"
"Oslo Cuban Salsa Festival 2026","23 Oct","26 Oct","Oslo, Norway","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268b6","https://www.facebook.com/events/1253548329905733/","oslo_cuban_salsa_festival_2026_20.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2310OSL11%3Fdestination_airports%3D0&campaign_id=100"
"KIZOMBA NO PÉ - Festa da Kizomba - 2026","24 Oct","26 Oct","Bordeaux, France","https://placetodance.com/festivals/calendar/6913a421caf0f6bef34db778","https://www.facebook.com/events/809344208548588/","kizomba_no_p____festa_da_kizomba___2026_21.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2410BOD11%3Fdestination_airports%3D0&campaign_id=100"
"Kizomba Open Festival Madrid  2026- Official Event","29 Oct","2 Nov","Madrid, Spain","https://placetodance.com/festivals/calendar/6913a420caf0f6bef34db758","https://www.facebook.com/events/4035586653369369/","kizomba_open_festival_madrid__2026__official_event_22.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2910MAD11%3Fdestination_airports%3D0&campaign_id=100"
"GLOBAL TARRAXO FESTIVAL PARIS 2026","30 Oct","2 Nov","Paris, France","https://placetodance.com/festivals/calendar/6913a421caf0f6bef34db770","https://www.facebook.com/events/806650825328201/","global_tarraxo_festival_paris_2026_24.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY3010ORY11%3Fdestination_airports%3D0&campaign_id=100"
