Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Nom_Image_Locale,Trip_URL
"Copenhagen Kizomba Festival 2026","4 Sep","7 Sep","Copenhagen, Denmark","https://placetodance.com/festivals/calendar/68e7b3dd6eb94a22fac267f1","https://www.facebook.com/events/606626482383900/","copenhagen_kizomba_festival_2026_2.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0409CPH11%3Fdestination_airports%3D0&campaign_id=100"
"PRAGUE KWANZA FESTIVAL – Summer edition 2026","4 Sep","7 Sep","Prague, Czech Republic","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268bc","https://www.facebook.com/events/1404081320681213/","prague_kwanza_festival___summer_edition_2026_3.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0409PRG11%3Fdestination_airports%3D0&campaign_id=100"
"ALPES BACHATA CONGRESS (Official Event)","4 Sep","7 Sep","Annecy, France","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8c8","https://www.facebook.com/events/1266732434772793/","alpes_bachata_congress__official_event__4.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0409NCY11%3Fdestination_airports%3D0&campaign_id=100"
"Aura Kiz Festival – Second Edition (Turku)","4 Sep","7 Sep","Turku, Finland","https://placetodance.com/festivals/calendar/68f680a0cfd1f800ad2ef4ea","https://www.facebook.com/events/711782341878891","aura_kiz_festival___second_edition__turku__5.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY0409TKU11%3Fdestination_airports%3D0&campaign_id=100"
"CONTRATEMPO – 10th Edition (Bordeaux)","11 Sep","14 Sep","Bordeaux, France","https://placetodance.com/festivals/calendar/68e80f556eb94a22fac268dd","https://www.facebook.com/events/835316032991591/","contratempo___10th_edition__bordeaux__9.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1109BOD11%3Fdestination_airports%3D0&campaign_id=100"
"MUKUA Festival Paris 2026 - Official Event - 5th Edition","11 Sep","14 Sep","Paris, France","https://placetodance.com/festivals/calendar/68f680a0cfd1f800ad2ef4c6","https://www.facebook.com/events/1092253766354820","mukua_festival_paris_2026___official_event___5th_edition_11.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1109ORY11%3Fdestination_airports%3D0&campaign_id=100"
"Único Warsaw Bachata Festival 2026","18 Sep","20 Sep","Warsaw, Poland","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8d8","https://www.facebook.com/events/1642771840019495/","_nico_warsaw_bachata_festival_2026_15.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1809WAW11%3Fdestination_airports%3D0&campaign_id=100"
"Vienna Bachata Congress 2026","18 Sep","21 Sep","Vienna, Austria","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c891","https://www.facebook.com/events/1252721403322475/","vienna_bachata_congress_2026_16.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1809VIE11%3Fdestination_airports%3D0&campaign_id=100"
"15 Urodziny LOFToDANCE | Save the date!","19 Sep","20 Sep","Krakow, Poland","https://placetodance.com/festivals/calendar/6925f18506f86dbdbfab2610","https://www.facebook.com/events/661539059905301/","15_urodziny_loftodance___save_the_date__19.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY1909KRK11%3Fdestination_airports%3D0&campaign_id=100"
"Prague Salsa Marathon 2026 - autumn edition","24 Sep","29 Sep","Prague, Czechia","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8f3","https://www.facebook.com/events/2259520767809335/","prague_salsa_marathon_2026___autumn_edition_22.jpg","https://tp.media/r?marker=598952&trs=394660&p=4114&u=https%3A%2F%2Fwww.aviasales.com%2Fsearch%2FORY2409PRG11%3Fdestination_airports%3D0&campaign_id=100"
