Titre,Date_Depart,Date_Retour,Ville,Lien_Source,Lien_Facebook,Mois,IATA_Manuel
"KIZZ KISS Festival 2026 - Dream Reloaded","5 Feb","9 Feb","Slovenija, Slovenia","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b68f","https://www.facebook.com/events/1197320138404954/","February",""
"Latinfest Feb 2026","6 Feb","9 Feb","Torquay, United Kingdom","https://placetodance.com/festivals/calendar/68fd1218e9c5d223fe32c8ad","https://www.facebook.com/events/776649495356385/","February",""
"BE COOL FESTIVAL 4 EDITION LOUP GAROU","6 Feb","9 Feb","Vélizy-Villacoublay, France","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26866","https://www.facebook.com/events/1193376698880948/","February",""
"SALSA & TREK CUBA (Havana, Trinidad, Lake Hanabanilla & The Escambray Mountains)","9 Feb","19 Feb",", United Kingdom","https://placetodance.com/festivals/calendar/6925cb9606f86dbdbfab242a","https://www.facebook.com/events/1512219856699575/","February",""
"Back 2 Basic Kizomba - Winter Edition Paris 2026","13 Feb","15 Feb","Vitry-Sur-Seine, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b641","https://www.facebook.com/events/1318845236103416/","February",""
"Sb Spain World Congress 2026","19 Feb","22 Feb","Benidorm, Spain","https://placetodance.com/festivals/calendar/68861ce24a97ca6427ee4adf","https://www.facebook.com/events/1438268664288526","February",""
"Bachata Mastery Festival 2026","19 Feb","23 Feb","Köln, Germany","https://placetodance.com/festivals/calendar/68779f2db9da100c7000baf7","https://www.facebook.com/events/1901982347280293/","February",""
"Wakanda Festival 2026 Paris - 5th Edition (Official)","20 Feb","23 Feb","Roissy-En-France, France","https://placetodance.com/festivals/calendar/68849b448dbff31b59015561","https://www.facebook.com/events/1840625616753828/","February",""
"Soul Dance Bachata Festival (with DJ Fuego) – Feb 2026","20 Feb","22 Feb","Lloret De Mar, Spain","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268da","https://www.facebook.com/events/705247435674894/","February",""
"Souldance Vol.6 2026","20 Feb","23 Feb","Santa Susanna, Spain","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268ad","https://www.facebook.com/events/1046647374020554/","February",""
"L'immersion Caribbean Dream - La croisière SBK dans les Caraïbes","21 Feb","28 Feb","Fort-De-France, Martinique","https://placetodance.com/festivals/calendar/6884c1558dbff31b590155ab","https://www.facebook.com/events/918132140078543","February",""
"BACHATATION 2026 Germany's Bachata Festival KARLSRUHE","26 Feb","1 Mar","Karlsruhe, Germany","https://placetodance.com/festivals/calendar/68779f2db9da100c7000baf6","https://www.facebook.com/events/1810553086397310/","February",""
"ATLANTA Salsa & Bachata Festival 2026","27 Feb","2 Mar",", Italy","https://placetodance.com/festivals/calendar/6925cb9906f86dbdbfab24a8","https://www.facebook.com/events/658157720378102/","February",""
"Bachata Czech Republic Festival 2026","27 Feb","1 Mar","Praha, Czech Republic","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bb01","https://www.facebook.com/events/1818540488921503/","February",""
"Tropical Bachata Festival 1","27 Feb","1 Mar",", France","https://placetodance.com/festivals/calendar/6925cb9506f86dbdbfab2412","https://www.facebook.com/events/1346485086923273/","February",""
"Fever Bachata Zaragoza Congress 2026 AniMagic Edition","27 Feb","1 Mar","Zaragoza, Spain","https://placetodance.com/festivals/calendar/68861ce24a97ca6427ee4af1","https://www.facebook.com/events/2069357560231358","February",""
"Latina Sol Kiz Festival 2026","27 Feb","1 Mar","L’Isle-D’Espagnac, France","https://placetodance.com/festivals/calendar/688629e24a97ca6427ee4b58","https://www.facebook.com/events/640614591781073/","February",""
"Vi Sbk Weekend Ourense","28 Feb","2 Mar","Ourense, Spain","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26886","https://www.facebook.com/events/727158222970961/","February",""
"Djumbai Afro Festival - 5th Edition","6 Mar","8 Mar","Costa Da Caparica, Portugal","https://placetodance.com/festivals/calendar/68e7ca906eb94a22fac26889","https://www.facebook.com/events/938658478477525/","March",""
"Week-End A Danser Iv","6 Mar","8 Mar","SEYSSES , France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b604","https://www.facebook.com/events/1198016791737914/","March",""
"I Will Dance Festival 5","12 Mar","16 Mar","Lieusaint, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5fb","https://www.facebook.com/events/1197400349059658/","March",""
"Arrasando Cuban Afro-Salsa Festival 2026","13 Mar","15 Mar",", Germany","https://placetodance.com/festivals/calendar/6925cb9b06f86dbdbfab24de","https://www.facebook.com/events/783471297715306/","March",""
"Bachata Day  11 Edition  13-14-15 March 2026  Official Event","13 Mar","16 Mar","Montresor Hotel Tower, Italy","https://placetodance.com/festivals/calendar/68861ce24a97ca6427ee4ad9","https://www.facebook.com/events/1353385045773295","March",""
"Legacy Fusion Festival 2026","13 Mar","16 Mar","Chaponnay, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000bafa","https://www.facebook.com/events/3110823402401919/","March",""
"Kim Madrid 2026 Official Event","13 Mar","16 Mar",", Spain","https://placetodance.com/festivals/calendar/68861ce24a97ca6427ee4b07","https://www.facebook.com/events/724735086766217","March",""
"LoveMI Kizomba Festival - 2nd Edition - All In One","20 Mar","23 Mar","Milano, Italy","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b65c","https://www.facebook.com/events/1467399280884164/","March",""
"Paris Afro Latin Congress 2026","20 Mar","23 Mar","Roissy, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b63d","https://www.facebook.com/events/3136349113185093/","March",""
"Kizbomba - Evolution 2026","20 Mar","23 Mar","Vösendorf, Austria","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5fd","https://www.facebook.com/events/676820304797988/","March",""
"El Teteo - W&P Edition","20 Mar","22 Mar","Zaandam, Netherlands","https://placetodance.com/festivals/calendar/68fd1816e9c5d223fe32c8ea","https://www.facebook.com/events/2012273182841991/","March",""
"Bachata Salsa Zouk & Kizomba Festival in Essen","20 Mar","23 Mar","Essen, Germany","https://placetodance.com/festivals/calendar/68f68970cfd1f800ad2ef51c","https://www.facebook.com/events/2287181225077089/","March",""
"Frankfurt Spring Bachathon 2026 - Germany's Bachata Marathon","26 Mar","30 Mar","Offenbach Am Main, Germany","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b60b","https://www.facebook.com/events/4159420777716752/","March",""
"International Mambo–Salsa–Bachata–Kizomba Congress (Wels) 2026","26 Mar","30 Mar","Wels, Austria","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268d4","https://www.facebook.com/events/531753026187350/","March",""
"VAMOS TCHILAR FESTIVAL6.MASTERS & SOCIAl","27 Mar","29 Mar","Bienne, Switzerland","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b645","https://www.facebook.com/events/651245377626270/","March",""
"KIZCON 6 KIZOMBA FESTIVAL BEACH EDITION","27 Mar","2 Apr","Salobrena, Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b616","https://www.facebook.com/events/971997838353139/","March",""
"Dax Kizomba Weekender","27 Mar","29 Mar","Dax, France","https://placetodance.com/festivals/calendar/68e80f546eb94a22fac268b9","https://www.facebook.com/events/1266813371844083/","March",""
"SÄNTIS KIZ FESTIVAL 27-29 MARCH 2026","27 Mar","30 Mar","St. Gallen, Switzerland","https://placetodance.com/festivals/calendar/68849b448dbff31b5901556d","https://www.facebook.com/events/664872276474692/","March",""
"ROCHEFORT SALSA FESTIVAL 11EME EDITION - #RSF11","27 Mar","31 Mar","Breuil-Magné, France","https://placetodance.com/festivals/calendar/689a474f47951c2e5078ec62","https://www.facebook.com/events/735837652473304/","March",""
"VIVA LATIN EASTER BRUSSELS Bachata sensual & Kizomba","3 Apr","6 Apr","Nivelles, Belgium","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b658","https://www.facebook.com/events/635840049054924/","April",""
"Pau Royal Kizomba Festival - 3ème Édition","3 Apr","5 Apr","Lescar, France","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b60f","https://www.facebook.com/events/648144664519621/","April",""
"Hot Tropical Dance MáLaga","8 Apr","13 Apr","Fuengirola , Spain","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b5fc","https://www.facebook.com/events/1960971431409094/","April",""
"Frenzy Easter Edition 2026","9 Apr","13 Apr","Cracovie, Poland","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b60a","https://www.facebook.com/events/1192824395900705/","April",""
"BELGIUM KIZZ ME BACHAMORE FESTIVAL 2026","10 Apr","13 Apr","Mons, Belgium","https://placetodance.com/festivals/calendar/68779f2db9da100c7000b618","https://www.facebook.com/events/1198289688348884/","April",""
